home_goals_avg,away_goals_avg,home_win_rate,away_win_rate,odds_home,odds_draw,odds_away,outcome
1.12,1.34,0.81,0.76,3.88,3.51,2.18,0
0.51,0.8,0.32,0.76,2.35,3.51,3.83,0
1.94,1.56,0.8,0.48,4.63,3.67,4.95,1
0.88,1.54,0.6,0.46,1.37,3.29,1.77,1
2.36,1.84,0.22,0.24,4.76,4.07,1.54,0
0.83,1.73,0.41,0.64,4.38,4.33,3.76,0
0.57,1.74,0.32,0.29,1.65,2.99,2.49,0
2.13,1.0,0.08,0.26,1.43,3.97,1.47,0
0.64,2.03,0.03,0.59,4.37,3.86,3.01,0
0.69,1.51,0.35,0.41,1.79,3.55,4.06,1
1.62,1.25,0.02,0.22,3.23,2.88,2.28,0
2.22,1.68,0.17,0.82,4.68,4.09,2.47,1
0.73,1.09,0.73,0.86,3.36,4.42,4.41,1
0.98,1.43,0.71,0.17,2.71,3.94,3.18,0
2.01,1.92,0.74,0.01,2.89,4.34,4.4,0
2.44,2.25,0.32,0.34,1.44,4.47,2.9,0
1.4,2.33,0.89,0.8,4.88,3.2,4.82,1
0.62,1.41,0.59,0.84,2.38,3.78,3.67,1
0.33,1.44,0.13,0.14,1.92,3.45,1.64,0
0.81,2.06,0.14,0.77,2.29,4.47,4.56,0
0.59,0.99,0.69,0.12,4.86,2.69,3.06,1
1.79,2.14,0.17,0.39,1.56,3.32,1.74,0
0.57,1.39,0.51,1.0,4.5,4.25,1.78,0
1.41,0.55,0.99,0.19,3.89,3.07,3.81,1
1.83,0.46,0.0,0.15,4.35,4.08,1.38,0
1.58,2.15,0.02,0.42,4.91,3.27,2.29,0
0.74,0.42,0.99,0.62,4.4,4.46,1.73,1
2.07,0.92,0.58,0.93,4.78,4.27,2.88,1
1.87,1.04,0.13,0.98,1.68,3.1,2.77,0
1.93,0.68,0.9,0.07,4.22,4.04,3.18,1
0.59,0.99,0.88,0.14,3.27,3.17,2.26,1
0.57,1.93,0.54,0.79,3.27,3.71,1.32,0
2.34,0.33,0.62,0.27,4.62,3.82,3.53,1
1.17,2.12,0.27,0.88,4.89,4.16,2.62,0
0.96,2.18,0.05,0.66,3.88,2.55,3.68,1
1.37,1.12,0.59,0.11,3.04,2.94,1.61,1
1.76,0.64,0.29,0.83,2.93,3.92,1.25,0
2.4,1.62,0.66,0.18,2.67,3.63,2.14,1
0.93,0.56,0.84,0.42,2.57,3.49,2.93,1
2.33,1.1,0.02,0.55,2.69,2.61,2.7,0
0.35,2.41,0.6,0.5,1.54,3.2,4.28,1
1.52,2.49,0.23,0.69,1.49,4.23,2.64,1
1.69,2.0,0.87,0.65,4.16,2.56,3.22,1
0.53,0.98,0.25,0.99,2.9,3.29,3.46,0
0.61,1.81,0.61,1.0,4.74,4.39,1.28,1
1.22,1.85,0.55,0.52,3.53,2.6,3.16,1
2.43,1.15,0.4,0.1,1.33,4.0,2.51,0
1.61,1.71,0.68,0.73,1.8,3.02,2.8,1
2.35,0.32,0.73,0.98,1.98,4.23,1.58,1
2.07,0.76,0.57,0.32,4.91,3.99,4.17,0
1.33,1.46,0.76,0.46,2.03,4.27,4.78,0
2.03,0.66,0.98,0.42,3.16,2.93,1.28,1
0.34,0.66,0.42,0.05,4.76,3.56,3.49,0
0.54,2.14,0.51,0.67,4.91,4.06,4.1,1
2.12,2.48,0.01,0.35,2.1,2.99,2.28,0
2.05,1.52,0.8,0.79,1.39,2.96,4.19,1
0.81,2.15,0.52,0.83,1.78,2.55,3.6,0
1.47,2.48,0.41,0.82,1.44,4.42,4.73,1
1.63,0.61,0.09,0.42,1.94,3.92,4.93,0
2.21,1.29,0.89,0.32,3.36,3.77,1.36,1
1.63,1.16,0.4,0.75,4.67,3.99,2.89,0
1.21,0.48,0.68,0.8,3.24,3.56,3.28,0
1.12,1.96,0.15,0.49,3.58,3.45,1.76,1
1.24,1.25,0.96,0.89,1.97,3.4,2.48,1
1.73,1.33,0.18,0.14,4.24,3.78,4.95,1
2.21,0.63,0.2,0.88,3.55,2.9,1.26,0
1.3,0.7,0.86,0.1,4.48,4.28,2.92,1
0.85,2.3,0.91,0.15,4.81,4.12,4.4,1
0.82,0.4,0.21,0.53,2.52,3.2,2.43,0
1.94,0.81,0.47,0.07,1.54,3.66,3.02,0
2.1,0.94,0.73,0.05,2.06,2.78,4.92,1
0.53,1.38,0.88,0.0,2.86,4.44,3.0,1
0.45,1.59,0.38,0.44,4.79,4.31,1.7,0
1.61,1.39,0.52,0.77,2.64,4.34,1.4,1
0.62,0.49,0.74,0.03,4.13,3.16,4.79,0
2.11,0.84,0.73,0.65,3.25,2.84,2.21,1
0.98,2.16,0.78,0.82,1.89,2.92,3.12,1
0.62,1.7,0.57,0.17,2.42,2.68,1.54,0
2.33,1.73,0.1,0.15,3.68,2.74,2.81,0
0.66,1.77,0.9,0.86,3.76,2.64,4.73,1
0.93,1.98,0.87,0.82,2.85,4.48,3.11,1
0.64,0.43,0.8,0.54,2.07,2.65,4.89,1
0.55,1.11,0.1,0.82,3.94,2.77,2.18,0
0.35,1.49,0.2,0.09,1.84,4.15,3.12,0
0.42,1.04,0.74,0.39,4.76,3.66,4.47,1
0.68,2.16,0.02,0.74,1.91,4.05,2.9,0
0.42,1.36,0.98,0.26,1.61,3.76,2.26,1
1.6,1.99,0.38,0.75,3.09,4.26,4.45,1
1.8,2.17,0.72,0.5,3.17,3.78,2.68,1
1.17,1.41,0.89,0.75,3.13,3.54,3.22,1
1.0,2.3,0.39,0.46,2.86,3.93,4.91,0
1.41,1.59,0.32,0.37,4.98,3.39,1.91,0
2.23,2.17,0.61,0.22,3.05,3.19,2.35,1
2.17,1.05,0.58,0.21,3.02,3.44,1.32,0
0.4,1.4,0.41,0.75,2.8,2.84,2.69,0
0.7,1.47,0.6,0.12,1.45,4.09,1.96,1
0.82,0.53,0.94,0.09,3.45,3.02,3.78,1
0.85,1.18,0.47,0.18,2.07,2.81,1.89,1
1.56,2.32,0.2,0.18,3.62,2.99,3.76,1
1.22,1.69,0.38,0.82,1.39,4.18,2.2,0
0.41,0.69,0.39,0.4,4.93,3.16,2.55,0
1.12,1.05,0.13,0.99,2.98,3.87,2.53,1
1.45,0.72,0.16,0.14,4.61,4.21,3.92,0
0.52,0.35,0.68,0.65,3.01,2.66,2.97,1
2.13,2.34,0.34,0.45,1.43,4.03,2.57,0
0.41,1.29,0.95,0.39,4.32,3.12,4.44,1
2.33,0.98,0.24,0.88,3.66,2.93,3.37,0
0.52,1.62,0.1,0.98,4.17,3.88,2.01,1
2.16,0.32,0.75,0.87,2.83,4.32,4.62,1
2.29,0.91,0.88,0.19,3.62,3.09,2.5,0
2.46,1.85,0.28,0.22,4.45,3.64,1.35,1
2.06,1.69,0.2,0.66,3.6,3.08,3.08,1
2.01,2.46,0.19,0.29,2.52,3.61,1.67,1
1.71,1.66,0.52,0.73,3.72,3.74,2.11,0
